workloads,repetition,xapp,expected_requests,observed_requests,valid_responses,deadline_misses,end_to_end_mean_ms
30,2,scale-n030-x017,20,20,20,0,656.35332395
30,2,scale-n030-x018,20,20,20,0,684.3054871
30,2,scale-n030-x019,20,20,20,0,688.6562805
30,2,scale-n030-x020,20,20,20,0,692.29193085
30,2,scale-n030-x021,20,20,20,0,725.4367288999999
30,2,scale-n030-x022,20,20,20,0,774.43277295
30,2,scale-n030-x023,20,20,20,0,768.96088175
30,2,scale-n030-x024,20,20,20,0,783.22713615
30,2,scale-n030-x025,20,20,20,0,798.0132360499999
30,2,scale-n030-x026,20,20,20,0,811.8900744499999
30,2,scale-n030-x027,20,20,20,0,820.1572452
30,2,scale-n030-x028,20,20,20,0,820.1569403999999
30,2,scale-n030-x029,20,20,20,0,815.69677095
25,2,scale-n025-x000,20,20,20,0,292.72730755000003
25,2,scale-n025-x001,20,20,20,0,282.30307335000003
25,2,scale-n025-x002,20,20,20,0,290.1880011
25,2,scale-n025-x003,20,20,20,0,285.19961255
25,2,scale-n025-x004,20,20,20,0,349.8811642
25,2,scale-n025-x005,20,20,20,0,358.25998675
25,2,scale-n025-x006,20,20,20,0,367.75218515
25,2,scale-n025-x007,20,20,20,0,374.9541431
25,2,scale-n025-x008,20,20,20,0,388.39097150000003
25,2,scale-n025-x009,20,20,20,0,421.65623395
